epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28262,2.13862,3.74311,2.02137,0.02569,0.33599,0.14038,0.06307,1.84586,3.70936,1.99062,3.333e-05,3.333e-05,3.333e-05
2,18.3647,1.95875,3.5748,1.98371,0.03616,0.33353,0.16203,0.07685,1.70806,3.70513,1.86861,7.00708e-05,7.00708e-05,7.00708e-05
3,27.2219,1.79924,3.49726,1.79703,0.03873,0.32019,0.16499,0.0757,1.74014,3.70572,1.86257,9.80124e-05,9.80124e-05,9.80124e-05
4,36.1443,1.77291,3.28512,1.81405,0.03481,0.32652,0.15648,0.0709,1.72613,3.69036,1.85876,0.000117155,0.000117155,0.000117155
5,45.1273,1.7477,3.10745,1.76225,0.03062,0.31836,0.15192,0.06438,1.67295,3.65687,1.82502,0.000127498,0.000127498,0.000127498
6,54.091,1.69577,2.79298,1.71982,0.02852,0.31428,0.15369,0.06654,1.63308,3.63939,1.8172,0.000129043,0.000129043,0.000129043
7,63.1357,1.62838,2.66212,1.65596,0.03026,0.3184,0.17281,0.07768,1.56089,3.55266,1.72128,0.000121788,0.000121788,0.000121788
8,71.9829,1.67273,2.50822,1.65591,0.03203,0.34678,0.17591,0.08373,1.55226,3.50211,1.68982,0.000105734,0.000105734,0.000105734
9,80.8957,1.55489,2.41677,1.64751,0.03337,0.35531,0.17761,0.0873,1.54774,3.45481,1.66462,8.08808e-05,8.08808e-05,8.08808e-05
10,89.6201,1.61543,2.38837,1.66044,0.03788,0.38125,0.18587,0.0954,1.5382,3.41385,1.64649,4.72286e-05,4.72286e-05,4.72286e-05
